Company Name,Company Information
A & A Dukaan Financial Services Pvt Ltd ( BankBazaar.com ),"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600006"
Aahaa Stores Pvt Ltd,"Industry : Retail, E -CommerceSub Industry : Consumer Electronics , MobileStores , IT HardwareCompany Type  : StartupsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600017"
Aero World Travels India Pvt Ltd ( aerobookings.com ),"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600002"
AMP e-Technologies India Pvt Ltd,Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600014
AP International,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600010
Astro Number Services Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600040
AstroVed.Com Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600058
Born Commerce Pvt Ltd,"Industry : Advertising , Media, Information Technology (IT), E -CommerceSub Industry : Production , Distribution , Equipment, IT Software , QA -TestingCompany Type  : MNCLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600113"
Caratlane Trading Pvt Ltd,"Industry : Gems , Jewellery , Watches, Retail, E -CommerceSub Industry : Associations, Gems , Jewellery, Watches, Jewellery , WatchesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600006"
ChargeBee Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600096
Clear Tax Filing,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600049
Cyber Space Abacus Pvt Ltd (IT Depot),"Industry : Retail, E -CommerceSub Industry : Consumer Electronics , MobileStores , IT HardwareCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600041"
Edsix Brain Lab Pvt Ltd (Skillangels),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600113
Ezrecharge.in,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600095
Fashionista Retail Pvt Ltd (cbazaar.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600032
Fazseo Technologies,"Industry : Advertising , Media, E -CommerceSub Industry : Advertising , PR , MRCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600001"
GetSpini,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600017
Giri Trading Agency Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600122
Go Fashion India Pvt Ltd (gocolors.co.in),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600018
Grabmore Internet Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600010
GuruInfo Solutions,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600044
India Property Online Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600028
Insoft.Com Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600096"
Kalyanamalai KM Wedding Events Management Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600017
Kesar Gift Mart Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600034
Kobster EShop Pvt Ltd,"Industry : Retail, E -CommerceSub Industry : Books & Stationery StoresCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600016"
Learnnovators,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Institutes - OthersCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600010"
Life Care,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600015
Macro Zenith Pvt Ltd,"Industry : Advertising , Media, Information Technology (IT), E -CommerceSub Industry : Advertising , PR , MR, IT Software , QA -TestingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600028"
Makoba,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600034
Matrimony.com Ltd ( BharatMatrimony.com ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600028
Medi Cards Info India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600096
Mobius Knowledge Services,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600063
Net Avenue Technologies Pvt Ltd (CBazaar.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600015
NewSouthIndiaTour.com,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600026"
Niryuha IT Solution Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT- Network Admin , Database , Datacenter , Security, IT- ConsultingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600042"
Old is Gold Store,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600040
Paypal India Pvt Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : MNCLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600119"
Q-Apps Technology & Business Solutions Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT- Network Admin , Database , Datacenter , SecurityCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600034"
RP Telebuy Skyshop Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Chennai / Tamil Nadu - 600058
